1,4000001,1,1,42736 
2,4000002,2,1,42736 
3,4000003,3,1,42736 
4,4000004,4,1,42736 
5,4000005,5,1,42736 
6,4000006,6,1,42736 
7,4000007,7,1,42736 
8,4000008,8,1,42736 
9,4000009,9,1,42736 
10,4000010,10,1,42736 
11,4000011,11,1,42736 
12,4000012,12,1,42736 
13,4000013,13,1,42736 
14,4000014,14,1,42736 
15,4000015,15,1,42736 
16,4000016,16,1,42736 
17,4000017,17,1,42736 
18,4000018,18,1,42736 
19,4000019,19,1,42736 
20,4000020,20,1,42736 
21,4000021,21,1,42736 
22,4000022,22,1,42736 
23,4000023,23,1,42736 
24,4000024,24,1,42736 
25,4000025,25,1,42736 
26,4000026,26,1,42736 
27,4000027,27,1,42736 
28,4000028,28,1,42736 
29,4000029,29,1,42736 
30,4000030,30,1,42736 
31,4000031,31,1,42736 
32,4000032,32,1,42736 
33,4000033,33,1,42736 
34,4000034,34,1,42736 
35,4000035,35,1,42736 
36,4000036,36,1,42736 
37,4000037,37,1,42736 
38,4000038,38,1,42736 
39,4000039,39,1,42736 
40,4000040,40,1,42736 
41,4000041,41,1,42736 
42,4000042,42,1,42736 
43,4000043,43,1,42736 
44,4000044,44,1,42736 
45,4000045,45,1,42736 
46,4000046,46,1,42736 
47,4000047,47,1,42736 
48,4000048,48,1,42736 
49,4000049,49,1,42736 
50,4000050,50,1,42736 
51,4000051,51,1,42736 
52,4000052,52,1,42736 
53,4000053,53,1,42736 
54,4000054,54,1,42736 
55,4000055,55,1,42736 
56,4000056,56,1,42736 
57,4000057,57,1,42736 
58,4000058,58,1,42736 
59,4000059,59,1,42736 
60,4000060,60,1,42736 
61,4000061,61,1,42736 
62,4000062,62,1,42736 
63,4000063,63,1,42736 
64,4000064,64,1,42736 
65,4000065,65,1,42736 
66,4000066,66,1,42736 
67,4000067,67,1,42736 
68,4000068,68,1,42736 
69,4000069,69,1,42736 
70,4000070,70,1,42736 
71,4000071,71,1,42736 
72,4000072,72,1,42736 
73,4000073,73,1,42736 
74,4000074,74,1,42736 
75,4000075,75,1,42736 
76,4000076,76,1,42736 
77,4000077,77,1,42736 
78,4000078,78,1,42736 
79,4000079,79,1,42736 
80,4000080,80,1,42736 
81,4000081,81,1,42736 
82,4000082,82,1,42736 
83,4000083,83,1,42736 
84,4000084,84,1,42736 
85,4000085,85,1,42736 
86,4000086,86,1,42736 
87,4000087,87,1,42736 
88,4000088,88,1,42736 
89,4000089,89,1,42736 
90,4000090,90,1,42736 
91,4000091,91,1,42736 
92,4000092,92,1,42736 
93,4000093,93,1,42736 
94,4000094,94,1,42736 
